быть софебимы
иметь ла€зую
стать цачоз€ю
сказать хуыЄу
делать ыиЄды
знать ыосэци
пойти инылюЄ
видеть гееол€
мочь эхонущ€
думать жЄЄфэю
вз€ть мютюгээ
жить зып€юо
работать оЄугю
уйти южэжыбы
говорить фасюдои
сто€ть х€ц€эо
сделать гЄущыфЄ
становитьс€ юзуеЄ
увидеть коф€хию
слышать мапаомы
спросить щую€г€
найти юдэчону
прийти эдыфоц€
давать шисукэо
начать саыще€
смотреть учюуфе
ждать аесыки
пон€ть соумЄжу
чувствовать щ€увЄа
хотеть аююкю
дать эочыфа
понимать юпЄмаф€
ответить бюепиЄ
возможно ючоии
служить чуосови
оставить юкювюбу
получить вехебоЄ
продолжать в€ижюо
остановить гахафыли
выйти юзэ€о
поставить ошюгау
полагать €Єб€е
помочь тэхеоги
должен киещыа
оставатьс€ сещицэа
приходить зоэыпе
учитывать экЄхЄа
находить ц€ита€
прин€ть иеуи
решить т€берои
предлагать гукоуо
замечать пуроээ
способен юют€ры
обращатьс€ юююшю
вести ээюнэ
выбрать уы€и
рассказать шюциЄхы
представить Єееы
показывать пЄэв€та
считать €пЄсЄки
садитьс€ еэагю
интересовать еЄсощЄ
привести вэоево
поверить гыеэи
использовать чЄЄгюмо
принести етоиы
пригласить чоопеса
происходить иЄы€
вспоминать чюо€ще
согласитьс€ офющюю
прочитать аоио
отправить ип€ючю
закончить гЄыжорЄ
научитьс€ рэемюгэ
объ€снить шюирЄы
помнить коэциэ
посмотреть рул€гэцы
описать х€дюае
остатьс€ ицуа€
писать гюдэщыфэ
обсудить шиююву
закрыть хизэгыхе
проверить Єэу€
изменить союуми
вернутьс€ эбэгуы
узнать нехеона
бывать ееаЄ
принадлежать эпеэу
возникать зинедыа
дождатьс€ Єюабу
помогать кЄмеычю
признать чуыш€ю
изучить зу€хевЄ
вызвать южио€
рассматривать олебЄшо
выразить ецомахэ
работать неЄлыЄ
об€зан мыщутожэ
смочь ютонюжо
потер€ть юшуощы
