быть Єцымукю
иметь уобЄэ
стать ноытаы
сказать к€ащуро
делать эодущ€
знать кироосу
пойти щишуЄо
видеть Єур€а
мочь абюжею
думать рэыфэка
вз€ть ыби€у
жить рехуыэ
работать ырещюжю
уйти хэчыэча
говорить гышуела
сто€ть ищавЄа
сделать вицышэту
становитьс€ гюЄою
увидеть €ыщэз€
слышать ф€п€чызэ
спросить г€етык€
найти юЄюду
прийти ащыефы
давать ыужыбу
начать еаюе
смотреть хоигоду
ждать Єенаю
пон€ть и€нЄцЄ
чувствовать киуыча
хотеть фиуныки
дать Єз€Єк€
понимать ыжыаро
ответить кэд€ю€
возможно щиоагы
служить фуакЄу
оставить лЄнэбоэ
получить ыюмЄи
продолжать ыез€о
остановить июыу
выйти иже€хо
поставить июиха
полагать ееЄа
помочь Єдюцае
должен пэеонЄ
оставатьс€ хэыеэ
приходить езадие
учитывать щюж€ама
находить камиыха
прин€ть ущецыне
решить €мюжеэ
предлагать ежюнэсэ
замечать цаезеи
способен сапугЄ€
обращатьс€ т€фЄужа
вести реичоэ
выбрать атуЄбе
рассказать €унуи
представить шуобошю
показывать анохюку
считать юцюкии
садитьс€ юЄгюхи
интересовать куеуу
привести ту€Єо
поверить ыгюрепы
использовать кэщЄкыи
принести евЄужэ
пригласить жюнЄхафю
происходить цобоаы
вспоминать Єлозаю
согласитьс€ т€лыюе
прочитать кэаютю
отправить Є€цегы
закончить амисэе
научитьс€ гиохэсо
объ€снить умЄбыо
помнить подуиэ
посмотреть €ичекэ
описать ыщыгожЄ
остатьс€ ацуЄту
писать нЄыиа
обсудить €€эи
закрыть элепЄбе
проверить цулыпеэ
изменить ж€одэо
вернутьс€ шыЄцыу
узнать ещафоны
бывать ээк€у
принадлежать ты€рюу
возникать еивэю
дождатьс€ €цЄпары
помогать вюм€певе
признать €хэсЄщо
изучить пюмыч€у
вызвать ыаюмэ
рассматривать ж€€роч€
выразить эооме
работать цищоээ
об€зан пеылыу
смочь ущузицу
потер€ть юдеюю
